id,impact,confidence,ease
8f6c6651-446c-4daa-b827-811f52f4c9c4,7,4,1
aa18b4b2-f4de-4a9c-851f-b4c965a7e769,4,2,3
289c429e-444f-42cd-a97a-25a05969b80f,8,6,5
a98ccfb7-4aac-4fe8-9ca9-6aca3878d873,5,6,3
785f7345-04af-4630-b34f-b1848a8f28a2,7,10,1
50f727d8-5f60-4429-87ac-f8afbe892e51,10,4,5
10f18d16-0efa-4427-a867-93320bc87d12,3,6,10
5034dfce-5733-47f3-94a2-f1012aaab7ec,7,2,7
f7389a3d-ed53-43d2-84a7-76f6b4171ef7,8,10,7
4a94b808-0db8-4871-868a-6d3baef42ed5,5,2,9
c6477f32-f811-4280-add2-63e8035b5344,4,10,10
78c49239-f0f3-429c-abb4-bf38563d27a9,8,4,10
4512091a-273e-4e46-a58b-9d17618e5c27,8,8,3
eb103951-3007-4197-9bf9-e24bba10dc80,3,7,7
f0b8b714-ff98-43ec-854e-9f153fba7849,6,9,1
5d84b20e-716c-4d2e-a9a2-e11b7b76e341,5,8,4
86006793-70d1-4a7b-bc1e-9a16ccb828bf,2,5,4
ca36454d-e029-4c05-a451-7a87a0992f95,8,2,5
f8b19727-9748-499e-8fef-b81cf4f43988,6,5,7
569b1ab1-a858-4004-adca-6b86bcf114c2,2,8,7
9b434713-2752-4f31-ad85-fa45c5c8e291,5,10,4
3688bd5f-6dab-4450-a7db-5919f57ba3f4,1,9,7
eb3017cb-8063-4267-8c3f-5ab2a54b7c88,10,9,3
9fa2e897-5a92-4a37-9d60-83cbf81d92a3,6,1,6
b17c21f4-af37-4965-9010-b41d23c7dec8,9,9,2
2596b904-7601-4c0d-84d7-6b0dfe0b2c19,1,7,10
634f7a1e-f1a2-468f-ab26-e4d59ccf0c35,10,9,9
ac09d29c-93d5-4fac-9282-2c82f278e925,3,8,5
6daba916-872d-4124-8b14-cca1d9bbdfd8,7,1,6
28942732-59ac-4f84-8c6b-cb8ab760e8c6,4,8,4
1179cffd-0003-4930-bf28-e623517c9d72,9,8,10
234b2d4c-2e81-4015-9df8-8da4087b7da8,3,3,7
e245c9e1-39c0-4a31-9376-41ff409e0e28,5,1,9
53acf871-9af2-403c-af3b-74061637ad25,3,8,7
632f110c-1dc3-4ce6-93e4-700be1977fd8,7,3,1
4fa9cbb2-26a7-41f9-bd11-2c5995fc8d7c,5,3,1
3b8881e4-97ed-44ce-ac26-0b65affa092a,9,1,9
4a1f0a34-f41b-44f0-9542-10793236a664,7,5,9
4eb0472e-e0f0-4b65-a126-ecd8915b56cd,2,10,4
b81e4154-1826-4292-9020-6591fb5bd6cf,4,7,9
d7b42a9a-889c-40bd-a590-22dbf71bc299,9,10,3
da4e97c1-ae68-4fad-bc80-a2497853fdb5,2,9,7
b9b9c719-9442-48b0-9934-3641dac11d97,10,7,6
f2c7502e-b277-43ed-aab4-6a7790202ed7,9,9,8
ddea8bf3-c6a5-4d96-a62f-c5224bbc4b0c,10,8,9
f61ad28f-df8a-49b8-b339-246233eabd01,5,2,5
edec1094-e5d6-410a-a3b3-4824bc1bb4e8,2,1,1
a6156ac2-ebba-4f55-87cb-1edc64c1efcb,4,7,3
6243c810-109c-41fb-8111-64af0e5d5cdc,7,7,10
9faf3dc8-4fab-4c3d-8d46-8a583cf2bc46,8,8,8
67abe409-5c17-43d9-b845-f3d07d06801d,3,5,6
89fc0b69-a40f-4d75-8017-124f7bf3ec42,1,3,8
6a5c3e49-69d6-4e5f-a17e-5fbc897156a4,4,8,9
dc93bcd1-d79f-431d-bf36-491f581dd83e,2,6,4
35fe9c2d-fa6f-4a0c-9b4a-3e79763d0220,8,3,1
